LOAN,MORTDUE,VALUE,YOJ,CLAGE,CLNO,DEBTINC
1100,25860,39025,10.5,94.366667,9,NaN
1300,70053,68400,7,121.833333,14,NaN
1500,13500,16700,4,149.466667,10,NaN
1500,NaN,NaN,NaN,NaN,NaN,NaN
1700,97800,112000,3,93.333333,14,NaN
1700,30548,40320,9,101.466002,8,37.113614
1800,48649,57037,5,77.1,17,NaN
1800,28502,43034,11,88.76603,8,36.884894
2000,32700,46740,3,216.933333,12,NaN
2000,NaN,62250,16,115.8,13,NaN
2000,22608,NaN,18,NaN,NaN,NaN
2000,20627,29800,11,122.533333,9,NaN
2000,45000,55000,3,86.066667,25,NaN
2000,64536,87400,2.5,147.133333,24,NaN
2100,71000,83850,8,123,16,NaN
2200,24280,34687,NaN,300.866667,8,NaN
2200,90957,102600,7,122.9,22,NaN
2200,23030,NaN,19,NaN,NaN,3.711312
2300,28192,40150,4.5,54.6,16,NaN
2300,102370,120953,2,90.992533,13,31.588503
2300,37626,46200,3,122.266667,14,NaN
2400,50000,73395,5,NaN,0,NaN
2400,28000,40800,12,67.2,22,NaN
2400,18000,NaN,22,121.733333,10,NaN
2400,NaN,17180,NaN,14.566667,4,NaN
2400,34863,47471,12,70.49108,21,38.263601
2400,98449,117195,4,93.811775,13,29.681827
2500,15000,20200,18,136.066667,19,NaN
2500,25116,36350,10,276.966667,9,NaN
2500,7229,44516,NaN,208,12,NaN
2500,71408,78600,8,255.733333,12,NaN
2800,50795,63100,26,145.633333,45,NaN
2800,4000,60850,16,112.633333,9,NaN
2900,78600,113000,6,165.333333,26,NaN
2900,103949,112505,1,96.10233,13,30.051136
2900,104373,120702,2,101.540297,13,29.915859
2900,7750,67996,16,122.204663,8,36.211348
2900,61962,70915,2,282.801659,37,49.206396
3000,104570,121729,2,85.884372,14,32.059783
3000,7000,20300,3,50.8,9,NaN
3000,NaN,8800,2,77.766667,3,NaN
3000,NaN,33000,1,23.3,2,NaN
3000,119826,193500,8,130.033358,27,NaN
3000,20000,29750,2,187.066667,12,NaN
3000,NaN,14500,3,9.3,2,NaN
3000,NaN,14100,1,104.2,19,NaN
3000,47000,82700,10,262.166667,26,NaN
3000,34542,45900,8.5,62.366667,10,NaN
3000,58000,71500,10,211.933333,25,NaN
3000,47000,56400,21,201.866667,20,NaN
3100,39589,36100,1.5,153.166667,14,NaN
3100,NaN,70400,NaN,NaN,NaN,NaN
3200,67848,74566,10,206.426602,25,40.115677
3200,48603,61000,28,122.033333,25,NaN
3200,27200,40834,NaN,298.131564,7,35.553539
3200,54000,64850,1,121.866667,21,NaN
3200,74864,87266,7,250.631269,12,42.909997
3200,23159,NaN,20,117.805748,9,0.524499
3300,126541,134527,9,139,36,NaN
3300,130518,164317,9,192.289149,33,35.730559
3400,37000,52000,2,183.299916,6,NaN
3500,23200,38666,11,162.366667,14,NaN
3500,19400,20494,5,95.933333,9,NaN
3600,61584,61800,10,NaN,NaN,NaN
3600,41900,52490,3,72.033333,4,NaN
3600,83700,111800,6,192.733333,28,NaN
3600,61327,76484,9,202.510775,25,41.51639
3600,100693,114743,6,88.470452,14,29.393543
3600,48507,61000,13,97.4,17,NaN
3600,52337,63989,20,204.272499,20,20.470916
3700,17857,21144,5,129.717323,9,26.634348
3800,19135,97692,1.6,252.633333,25,NaN
3800,51180,63459,20,203.751534,20,20.067042
3800,NaN,73189,NaN,NaN,NaN,22.253949
3800,11543,46045,NaN,204.647992,11,42.173166
3900,29896,45960,11,146.123242,14,24.478881
3900,14500,22092,3.5,150.3,8,NaN
3900,52825,63000,8,171.666667,31,NaN
3900,102143,118742,2,85.277366,13,29.343921
3900,21200,39000,4,86.566667,14,NaN
4000,105164,112774,1,94.724874,13,29.390928
4000,54543,61777,21,205.58668,19,21.806563
4000,NaN,80609,1.5,126.533333,12,NaN
4000,26572,31960,11,117.795104,8,41.286492
4000,17000,52012,22,85.333333,9,NaN
4000,29562,37200,6,92.133333,26,NaN
4000,41700,76725,0.5,136.133333,15,NaN
4000,58000,69440,3.5,168.666667,18,NaN
4000,5700,18000,NaN,12.2,17,NaN
4000,45000,58350,3.5,162,16,NaN
4000,7000,16020,18,85.8,23,NaN
